SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,LTP,INDICATIVE CLOSE,CHANGE,% CHANGE,VOLUME (shares),VALUE (Crores),52W H,52W L,30 D %CHNG,365 D %CHNG
"NIFTY 100","25,199.40","25,260.50","25,161.55","25,327.65","25,213.05","-","-114.6","-0.45","21622242","1,505.74","26,975.15","22,720.45","0.5","-1.6"
"ICICIBANK","1,444.50","1,480.00","1,444.50","1,444.30","1,469.00","-","24.7","1.71","2166243","316.78","1,500.00","1,187.60","8.67","2.63"
"HDFCBANK","790.00","790.00","780.00","819.60","785.80","-","-33.8","-4.12","3083354","242.92","1,020.50","726.65","0.55","-19.88"
"AXISBANK","1,275.00","1,284.00","1,271.00","1,328.50","1,273.90","-","-54.6","-4.11","1712204","218.68","1,418.30","1,042.50","-6.52","15.46"
"RELIANCE","1,317.20","1,340.00","1,314.90","1,327.20","1,338.40","-","11.2","0.84","715578","94.95","1,611.80","1,253.20","1.81","-9.67"
"KOTAKBANK","382.00","383.00","378.55","389.95","379.90","-","-10.05","-2.58","1939158","73.85","453.20","345.50","-4.88","-11.29"
"PNB","108.26","108.99","107.40","105.77","108.77","-","3","2.84","4398798","47.73","135.15","98.50","0.08","-3.96"
"JSWSTEEL","1,252.70","1,262.30","1,247.20","1,237.30","1,251.40","-","14.1","1.14","270610","33.89","1,328.00","1,017.40","-2.58","21.28"
"SBIN","1,041.60","1,049.50","1,038.30","1,044.30","1,049.00","-","4.7","0.45","322393","33.69","1,234.70","786.55","1.71","27.87"
"BAJFINANCE","1,057.00","1,057.30","1,044.00","1,056.30","1,044.70","-","-11.6","-1.1","250687","26.36","1,102.50","787.90","8.67","10.96"
"INFY","1,102.00","1,103.80","1,093.10","1,096.50","1,099.40","-","2.9","0.26","236184","26.00","1,728.00","982.40","4.17","-30.95"
"TECHM","1,577.60","1,604.80","1,576.00","1,572.90","1,603.10","-","30.2","1.92","120358","19.19","1,854.00","1,304.10","13.49","3.29"
"JIOFIN","243.00","243.11","240.71","242.98","240.95","-","-2.03","-0.84","690083","16.69","338.60","223.30","-1.91","-24.33"
"INDIGO","5,189.50","5,189.50","5,120.50","5,248.50","5,171.00","-","-77.5","-1.48","32225","16.64","6,232.50","3,895.20","2.9","-11.84"
"LT","3,815.00","3,832.70","3,814.80","3,814.50","3,822.30","-","7.8","0.2","38519","14.72","4,440.00","3,288.10","-9.37","10.11"
"TCS","2,280.10","2,283.40","2,273.00","2,269.00","2,278.20","-","9.2","0.41","62814","14.31","3,350.00","1,976.80","6.87","-28.81"
"M&M","3,179.20","3,179.20","3,146.20","3,179.20","3,148.00","-","-31.2","-0.98","40873","12.92","3,839.90","2,896.00","2.19","-1.58"
"BHARTIARTL","1,901.20","1,923.00","1,901.20","1,908.80","1,919.60","-","10.8","0.57","67485","12.88","2,174.50","1,740.50","0.51","1.03"
"ADANIPOWER","215.75","215.82","214.28","214.45","215.09","-","0.64","0.3","496367","10.68","254.20","110.45","-7.35","80.55"
"SHRIRAMFIN","1,040.00","1,040.00","1,024.60","1,034.90","1,025.00","-","-9.9","-0.96","88752","9.15","1,108.00","566.50","2.02","58.34"
"HCLTECH","1,205.00","1,214.40","1,200.10","1,203.90","1,213.00","-","9.1","0.76","71312","8.63","1,780.10","1,030.00","7","-21.82"
"ETERNAL","284.65","286.90","284.65","286.60","286.05","-","-0.55","-0.19","297756","8.50","368.45","212.60","8","10.98"
"UNIONBANK","168.00","171.25","167.77","168.46","170.73","-","2.27","1.35","461797","7.86","205.49","124.64","-2.85","16.58"
"SOLARINDS","18,500.00","18,833.00","18,500.00","18,467.00","18,759.00","-","292","1.58","4107","7.69","18,972.00","11,646.00","3.97","25.92"
