SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,LTP,INDICATIVE CLOSE,CHANGE,% CHANGE,VOLUME (shares),VALUE (Crores),52W H,52W L,30 D %CHNG,365 D %CHNG
"NIFTY MIDCAP 100","62,335.75","62,461.25","62,249.75","62,428.05","62,451.10","-","23.05","0.04","20592357","355.30","63,183.35","52,032.85","-0.11","5.66"
"KALYANKJIL","573.90","575.95","568.00","574.40","570.55","-","-3.85","-0.67","871101","49.85","617.70","327.05","48.79","-3.31"
"YESBANK","23.65","23.65","22.95","23.61","23.07","-","-0.54","-2.29","10739712","25.02","25.78","17.20","-9.13","14.48"
"FEDERALBNK","341.50","347.90","341.50","349.00","347.30","-","-1.7","-0.49","613812","21.20","351.00","185.11","7.19","63.43"
"BSE","3,575.00","3,592.00","3,552.00","3,581.80","3,589.00","-","7.2","0.2","40393","14.44","4,446.80","2,021.50","-10.74","46.56"
"COFORGE","1,504.80","1,530.00","1,503.10","1,508.40","1,529.70","-","21.3","1.41","68924","10.46","1,989.70","1,008.10","4.51","-17.75"
"BHEL","422.40","424.35","421.30","422.00","422.65","-","0.65","0.15","243718","10.30","446.50","205.12","2.03","68.76"
"DIXON","14,300.00","14,300.00","14,165.00","14,329.00","14,227.00","-","-102","-0.71","6331","9.02","18,471.00","9,600.00","13.61","-10.9"
"PREMIERENE","1,063.00","1,063.00","1,030.00","1,086.20","1,043.10","-","-43.1","-3.97","77348","8.07","1,134.00","660.00","-3.3","-1.36"
"MCX","2,749.00","2,773.90","2,748.80","2,747.50","2,769.50","-","22","0.8","28995","8.00","3,480.00","1,460.80","-1.33","67.97"
"POLYCAB","8,847.00","8,850.00","8,794.00","8,862.00","8,808.50","-","-53.5","-0.6","8922","7.88","10,126.00","6,620.00","-12.57","27.28"
"HAVELLS","1,165.60","1,193.70","1,165.60","1,187.30","1,192.30","-","5","0.42","66239","7.81","1,621.10","1,123.60","1.36","-21.48"
"WAAREEENER","2,819.00","2,819.00","2,780.00","2,840.70","2,794.00","-","-46.7","-1.64","27553","7.70","3,865.00","2,403.00","-10.69","-10.59"
"POWERINDIA","32,190.00","32,190.00","31,915.00","32,075.00","31,950.00","-","-125","-0.39","2301","7.37","38,785.00","16,111.00","-13.31","67.6"
"OFSS","11,800.00","11,967.00","11,773.00","11,771.00","11,967.00","-","196","1.67","5976","7.11","11,967.00","6,234.50","24.16","36.14"
"HINDPETRO","396.30","396.75","392.70","400.40","396.40","-","-4","-1","169110","6.68","508.45","316.20","1.11","-7.93"
"NATIONALUM","340.60","348.65","340.55","339.90","348.45","-","8.55","2.52","191606","6.62","445.15","179.93","-7.31","85.35"
"OBEROIRLTY","1,865.00","1,865.10","1,841.00","1,894.80","1,859.50","-","-35.3","-1.86","30998","5.75","1,986.10","1,391.20","10.45","1.34"
"NMDC","83.75","84.62","83.27","83.22","84.44","-","1.22","1.47","674362","5.68","97.49","68.19","-4.5","18.2"
"GROWW","208.28","208.45","207.01","208.30","207.14","-","-1.16","-0.56","247043","5.14","227.20","112.00","3.72","0"
"PERSISTENT","5,183.90","5,238.00","5,180.00","5,183.90","5,233.30","-","49.4","0.95","9838","5.13","6,599.00","4,244.50","8.36","-5.68"
"PATANJALI","339.90","339.90","335.05","337.70","336.05","-","-1.65","-0.49","150630","5.09","653.93","328.20","-20.2","-48.01"
"BHARATFORG","2,194.70","2,195.30","2,182.60","2,190.50","2,189.30","-","-1.2","-0.05","22389","4.91","2,238.00","1,100.50","7.31","80.06"
"PAYTM","1,350.00","1,352.20","1,337.00","1,348.00","1,346.40","-","-1.6","-0.12","36201","4.87","1,407.00","930.60","23.34","34.24"
