SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,LTP,INDICATIVE CLOSE,CHANGE,% CHANGE,VOLUME (shares),VALUE (Crores),52W H,52W L,30 D %CHNG,365 D %CHNG
"NIFTY SMALLCAP 100","19,274.80","19,303.20","19,260.45","19,296.30","19,282.75","-","-13.55","-0.07","5938972","229.60","19,470.50","14,986.00","2.65","1.7"
"HSCL","742.05","751.30","741.10","741.55","745.00","-","3.45","0.47","716049","53.38","751.30","418.50","11.39","45.44"
"POONAWALLA","489.00","489.00","478.30","477.30","481.60","-","4.3","0.9","647266","31.28","570.40","361.20","11.96","5.65"
"RBLBANK","360.55","368.90","360.55","368.10","367.00","-","-1.1","-0.3","424888","15.50","382.35","243.25","-3.09","39.53"
"ATHERENERG","1,282.20","1,308.70","1,279.40","1,282.20","1,304.40","-","22.2","1.73","106584","13.80","1,345.00","329.20","34.4","282.65"
"ANANTRAJ","595.00","598.40","593.15","592.10","594.70","-","2.6","0.44","154219","9.19","743.65","403.00","14.38","0.98"
"NETWEB","4,211.00","4,220.00","4,186.50","4,244.30","4,203.40","-","-40.9","-0.96","16874","7.09","5,244.00","1,812.50","-17.11","117.2"
"MRPL","172.00","174.79","171.80","174.49","173.33","-","-1.16","-0.66","367646","6.38","212.31","120.40","12.11","15.86"
"TATATECH","764.70","775.00","764.70","758.05","773.30","-","15.25","2.01","71227","5.48","784.00","507.40","4.04","8.39"
"ZENSARTECH","520.70","530.00","519.70","518.15","526.50","-","8.35","1.61","82836","4.36","868.95","423.00","17.47","-36.33"
"BANDHANBNK","213.60","213.88","212.61","213.25","213.20","-","-0.05","-0.02","178110","3.80","220.76","134.25","2.34","13.86"
"KAYNES","3,369.50","3,375.00","3,355.00","3,385.80","3,370.00","-","-15.8","-0.47","10678","3.59","7,705.00","2,995.00","3.58","-42.43"
"DATAPATTNS","4,072.00","4,090.00","4,031.00","4,085.80","4,033.80","-","-52","-1.27","8641","3.51","4,955.90","2,131.00","-16.23","46.48"
"AEGISLOG","1,344.00","1,364.80","1,339.40","1,349.10","1,364.80","-","15.7","1.16","24488","3.32","1,423.50","576.10","35.36","84.07"
"WELCORP","1,585.00","1,607.60","1,582.70","1,581.50","1,607.60","-","26.1","1.65","20411","3.25","1,698.80","710.00","12.97","74.12"
"AMBER","7,765.50","7,765.50","7,710.00","7,804.50","7,730.50","-","-74","-0.95","3396","2.63","8,974.00","5,400.50","-2.26","1.41"
"DELHIVERY","487.00","487.35","483.50","492.15","485.30","-","-6.85","-1.39","53289","2.59","524.00","374.45","4.89","13.68"
"CDSL","1,415.00","1,415.00","1,406.70","1,418.20","1,412.10","-","-6.1","-0.43","18301","2.58","1,753.90","1,116.30","2.99","-16.91"
"SONACOMS","705.00","708.45","703.75","704.85","708.05","-","3.2","0.45","35633","2.51","708.45","402.30","15.22","47.42"
"HINDCOPPER","484.95","489.65","483.70","486.15","487.50","-","1.35","0.28","48349","2.35","760.05","226.70","-4.61","80.76"
"IDBI","87.02","87.10","86.32","87.02","86.78","-","-0.24","-0.28","259160","2.25","118.38","61.01","4.82","-11.76"
