Stock,Price,% Change,RSI,MACD Hist,MACD Signal,RSI Signal,UT Bot,Chart
HDFCBANK.NS,795.6,-0.54,46.7,7.664,---,---,---,https://in.tradingview.com/symbols/NSE:HDFCBANK/
RELIANCE.NS,1360.8,-0.31,49.0,3.512,---,---,---,https://in.tradingview.com/symbols/NSE:RELIANCE/
INFY.NS,1312.3,-0.49,50.5,7.835,---,---,---,https://in.tradingview.com/symbols/NSE:INFY/
TCS.NS,2576.0,-0.21,55.0,27.601,---,---,---,https://in.tradingview.com/symbols/NSE:TCS/
HINDUNILVR.NS,2243.9,0.14,60.5,23.908,---,---,---,https://in.tradingview.com/symbols/NSE:HINDUNILVR/
ICICIBANK.NS,1373.0,1.95,63.7,17.583,---,---,---,https://in.tradingview.com/symbols/NSE:ICICIBANK/
KOTAKBANK.NS,382.65,-0.25,52.8,3.974,---,---,---,https://in.tradingview.com/symbols/NSE:KOTAKBANK/
ITC.NS,306.45,-0.11,54.1,2.071,---,---,---,https://in.tradingview.com/symbols/NSE:ITC/
SBIN.NS,1107.35,2.51,58.4,10.499,---,Sell,---,https://in.tradingview.com/symbols/NSE:SBIN/
HCLTECH.NS,1430.0,-0.85,53.0,8.512,---,---,---,https://in.tradingview.com/symbols/NSE:HCLTECH/
ASIANPAINT.NS,2472.0,0.32,65.5,37.308,---,---,---,https://in.tradingview.com/symbols/NSE:ASIANPAINT/
AXISBANK.NS,1369.0,0.73,63.9,17.878,---,---,---,https://in.tradingview.com/symbols/NSE:AXISBANK/
LT.NS,4107.7,0.28,62.1,65.136,---,---,---,https://in.tradingview.com/symbols/NSE:LT/
BHARTIARTL.NS,1846.9,-0.0,48.7,8.319,---,---,---,https://in.tradingview.com/symbols/NSE:BHARTIARTL/
MARUTI.NS,13404.0,-0.36,51.2,147.598,---,---,---,https://in.tradingview.com/symbols/NSE:MARUTI/
NESTLEIND.NS,1287.1,0.12,63.6,12.371,---,---,---,https://in.tradingview.com/symbols/NSE:NESTLEIND/
POWERGRID.NS,320.1,0.63,72.1,2.323,---,---,---,https://in.tradingview.com/symbols/NSE:POWERGRID/
SUNPHARMA.NS,1671.0,-0.27,39.8,-6.723,---,---,---,https://in.tradingview.com/symbols/NSE:SUNPHARMA/
TITAN.NS,4490.0,-0.79,61.1,37.868,---,---,---,https://in.tradingview.com/symbols/NSE:TITAN/
