Symbol,Price,P/E,D/E,ROE,RSI,Fund Score,Tech Score,Final Score,Recommendation,Chart
COALINDIA.NS,435.1,9.0,13.0,,43.9,4.0,4.0,0.8,Buy,https://in.tradingview.com/symbols/NSE:COALINDIA/
HINDALCO.NS,978.25,13.5,57.6,,61.2,3.5,4.5,0.78,Buy,https://in.tradingview.com/symbols/NSE:HINDALCO/
ONGC.NS,287.55,9.5,43.8,,62.8,3.0,4.5,0.72,Buy,https://in.tradingview.com/symbols/NSE:ONGC/
HEROMOTOCO.NS,5247.0,19.3,3.4,,48.2,3.0,4.5,0.72,Buy,https://in.tradingview.com/symbols/NSE:HEROMOTOCO/
SBIN.NS,1063.55,11.6,,,49.5,3.0,4.5,0.72,Buy,https://in.tradingview.com/symbols/NSE:SBIN/
AXISBANK.NS,1353.6,16.1,,13.6,62.4,2.5,4.5,0.66,Hold,https://in.tradingview.com/symbols/NSE:AXISBANK/
IOC.NS,141.08,5.4,72.6,,41.0,3.5,2.5,0.62,Hold,https://in.tradingview.com/symbols/NSE:IOC/
BPCL.NS,292.95,5.1,56.4,,41.2,3.5,2.5,0.62,Hold,https://in.tradingview.com/symbols/NSE:BPCL/
HCLTECH.NS,1429.4,23.5,9.7,23.2,54.3,4.0,1.5,0.6,Hold,https://in.tradingview.com/symbols/NSE:HCLTECH/
POWERGRID.NS,300.35,19.3,141.2,,56.0,2.0,4.5,0.6,Sell,https://in.tradingview.com/symbols/NSE:POWERGRID/
NESTLEIND.NS,1226.1,72.5,10.8,,50.6,2.0,4.5,0.6,Sell,https://in.tradingview.com/symbols/NSE:NESTLEIND/
WIPRO.NS,202.97,16.1,22.0,15.2,53.9,4.0,1.5,0.6,Hold,https://in.tradingview.com/symbols/NSE:WIPRO/
EICHERMOT.NS,7050.0,36.1,2.0,,49.5,2.0,4.5,0.6,Sell,https://in.tradingview.com/symbols/NSE:EICHERMOT/
TCS.NS,2472.6,18.2,10.4,48.4,45.2,4.0,1.5,0.6,Hold,https://in.tradingview.com/symbols/NSE:TCS/
INFY.NS,1276.8,17.8,10.5,32.7,43.5,4.0,1.5,0.6,Hold,https://in.tradingview.com/symbols/NSE:INFY/
ICICIBANK.NS,1351.1,18.5,,16.8,60.7,3.0,2.5,0.56,Hold,https://in.tradingview.com/symbols/NSE:ICICIBANK/
TATASTEEL.NS,206.39,28.1,99.7,,59.9,1.5,4.5,0.54,Sell,https://in.tradingview.com/symbols/NSE:TATASTEEL/
BAJAJ-AUTO.NS,9816.0,30.9,57.3,,62.1,1.5,4.5,0.54,Sell,https://in.tradingview.com/symbols/NSE:BAJAJ-AUTO/
JSWSTEEL.NS,1204.2,39.5,118.7,,55.0,1.0,4.5,0.48,Sell,https://in.tradingview.com/symbols/NSE:JSWSTEEL/
LT.NS,3954.3,31.0,111.8,,57.5,1.0,4.5,0.48,Sell,https://in.tradingview.com/symbols/NSE:LT/
TITAN.NS,4439.3,82.6,223.0,,61.8,1.0,4.5,0.48,Sell,https://in.tradingview.com/symbols/NSE:TITAN/
NTPC.NS,386.25,21.4,118.1,,60.3,1.0,4.5,0.48,Sell,https://in.tradingview.com/symbols/NSE:NTPC/
ADANIENT.NS,2129.0,19.2,177.8,,61.8,2.0,2.5,0.44,Sell,https://in.tradingview.com/symbols/NSE:ADANIENT/
RELIANCE.NS,1315.1,21.4,35.7,,39.8,3.0,1.0,0.44,Sell,https://in.tradingview.com/symbols/NSE:RELIANCE/
ASIANPAINT.NS,2352.4,58.5,17.6,,57.3,2.0,2.5,0.44,Sell,https://in.tradingview.com/symbols/NSE:ASIANPAINT/
HDFCBANK.NS,794.7,17.7,,14.0,46.2,2.5,1.5,0.42,Sell,https://in.tradingview.com/symbols/NSE:HDFCBANK/
HDFCLIFE.NS,619.1,70.9,17.6,11.3,47.8,2.5,1.5,0.42,Sell,https://in.tradingview.com/symbols/NSE:HDFCLIFE/
SUNPHARMA.NS,1652.2,36.4,6.7,,33.8,2.0,2.0,0.4,Sell,https://in.tradingview.com/symbols/NSE:SUNPHARMA/
SBILIFE.NS,1914.4,77.5,,13.9,52.0,1.5,2.5,0.38,Sell,https://in.tradingview.com/symbols/NSE:SBILIFE/
ITC.NS,298.65,18.4,0.5,,45.2,2.0,1.5,0.36,Sell,https://in.tradingview.com/symbols/NSE:ITC/
SHREECEM.NS,24300.0,49.0,38.1,,51.1,2.0,1.5,0.36,Sell,https://in.tradingview.com/symbols/NSE:SHREECEM/
KOTAKBANK.NS,371.9,19.7,,,46.2,2.0,1.5,0.36,Sell,https://in.tradingview.com/symbols/NSE:KOTAKBANK/
