symbol,current_price,fund_score,fund_max,tech_score,tech_max,final_score,recommendation,tradingview,fundamental_meta,technical_meta
COALINDIA.NS,434.1,4.0,5,4.0,5,0.8,Buy,https://in.tradingview.com/symbols/NSE:COALINDIA/,"{'pe': 8.959752, 'de_ratio': 12.976, 'roe': None}","{'price': 434.1000061035156, 's50': 438.26729675292967, 's200': 391.57055923461917, 'rsi': 43.328238748852016, 'macd_hist': -2.279251804631695}"
HINDALCO.NS,992.1,3.5,5,4.5,5,0.78,Buy,https://in.tradingview.com/symbols/NSE:HINDALCO/,"{'pe': 13.718197, 'de_ratio': 57.571, 'roe': None}","{'price': 992.0999755859375, 's50': 933.0850024414062, 's200': 814.0717584228515, 'rsi': 65.09423968700321, 'macd_hist': 12.44016029359273}"
HEROMOTOCO.NS,5466.5,3.0,5,4.5,5,0.72,Buy,https://in.tradingview.com/symbols/NSE:HEROMOTOCO/,"{'pe': 20.120358, 'de_ratio': 3.395, 'roe': None}","{'price': 5466.5, 's50': 5441.26814453125, 's200': 5238.898720703125, 'rsi': 55.471107301228194, 'macd_hist': 33.59819897771918}"
ONGC.NS,286.5,3.0,5,4.5,5,0.72,Buy,https://in.tradingview.com/symbols/NSE:ONGC/,"{'pe': 9.477341, 'de_ratio': 43.805, 'roe': None}","{'price': 286.5, 's50': 270.91178527832034, 's200': 241.71033073425292, 'rsi': 61.84321998723134, 'macd_hist': 1.0731631096979637}"
SBIN.NS,1066.7,3.0,5,4.5,5,0.72,Buy,https://in.tradingview.com/symbols/NSE:SBIN/,"{'pe': 11.614765, 'de_ratio': None, 'roe': None}","{'price': 1066.699951171875, 's50': 1107.1849938964845, 's200': 946.4622485351563, 'rsi': 50.161523050664584, 'macd_hist': 5.101503737982615}"
AXISBANK.NS,1350.8,2.5,5,4.5,5,0.66,Hold,https://in.tradingview.com/symbols/NSE:AXISBANK/,"{'pe': 16.025627, 'de_ratio': None, 'roe': 0.13625}","{'price': 1350.800048828125, 's50': 1303.3340014648438, 's200': 1214.9430682373047, 'rsi': 62.05114457164623, 'macd_hist': 20.3158381748061}"
BPCL.NS,299.35,3.5,5,2.5,5,0.62,Hold,https://in.tradingview.com/symbols/NSE:BPCL/,"{'pe': 5.1979513, 'de_ratio': 56.386, 'roe': None}","{'price': 299.3500061035156, 's50': 338.925732421875, 's200': 331.4731135559082, 'rsi': 44.791783597979745, 'macd_hist': 4.004735357754861}"
IOC.NS,142.96,3.5,5,2.5,5,0.62,Hold,https://in.tradingview.com/symbols/NSE:IOC/,"{'pe': 5.506934, 'de_ratio': 72.631, 'roe': None}","{'price': 142.9600067138672, 's50': 159.91186431884765, 's200': 150.65655921936036, 'rsi': 43.20064551659672, 'macd_hist': 1.0849026508765771}"
HCLTECH.NS,1451.2,4.0,5,1.5,5,0.6,Hold,https://in.tradingview.com/symbols/NSE:HCLTECH/,"{'pe': 23.923508, 'de_ratio': 9.747, 'roe': 0.23188}","{'price': 1451.199951171875, 's50': 1451.5439916992189, 's200': 1522.5665289306642, 'rsi': 59.154677949042004, 'macd_hist': 19.43524844628793}"
TCS.NS,2524.3,4.0,5,1.5,5,0.6,Hold,https://in.tradingview.com/symbols/NSE:TCS/,"{'pe': 18.552845, 'de_ratio': 10.389, 'roe': 0.48395002}","{'price': 2524.300048828125, 's50': 2660.477998046875, 's200': 2978.2700854492186, 'rsi': 50.33907040880529, 'macd_hist': 36.63572749891816}"
